Function,Definition,Parameters,Returns,Date Created,Date Last Modified,Process,Categorization,Usage,Notes,Folder
read_directory,Function which reads reads a directory and returns a list of files included within,"['location', 'file_type', 'match_str']",Dataframe,3-Dec-25,3-Dec-25,OS Folder Management,Directory Management,"d_py_function =  '/Users/derekdewald/Documents/Python/Github_Repo/d_py_functions/'
read_directory(d_py_function)",,filesystem_tools.py
txt_to_python,Function Used to Import .txt or .py File into Python.,"['file_name', 'encoding']",Dataframe,3-Dec-25,3-Dec-25,OS Folder Management,File Management,"location = '/Users/derekdewald/Documents/Python/Github_Repo/d_py_functions/DFProcessing.py'
file = TextFileImport(location)",,filesystem_tools.py
parse_dot_py_file,Function which parses a .py file which has been read into python into a DataFrame categorizing function for ease of articulation and classification,"['file_text', 'function_columns']",Excel File(s),05-Aug-25,06-Jul-26,OS Folder Management,File Management,"location = '/Users/derekdewald/Documents/Python/Github_Repo/d_py_functions/'
file_text = txt_to_python(f""{location}/filesystem_tools.py"")
a,b = parse_dot_py_file(file_text)","Update on 6-Jul-26 included generalization of List, and Formation of Tab/Indent structure.",filesystem_tools.py
parse_dot_py_folder,Function which sacles parse_dot_py_file to folder from file.,"['location', 'export_location']",DataFrame(s),4-Dec-25,06-Jul-26,OS Folder Management,File Management,"function_list,parameter_list = parse_dot_py_folder(export_location=False)",Definition,filesystem_tools.py
move_file_in_folder,"Function Created to Help Move Files Between Folders Directly in Python.
Function will validate that the Folders both exist and there currently isn't a file of the same name, to reduce risk of overwriting
unexpectedly. (There is a manual override).","['folder1', 'folder2', 'file_name', 'overwrite_without_validation']","None date_created:09-Feb-26 date_last_modified: 09-Feb-26 classification: OS Folder Management sub_classification: File Management folder1 = '/Users/derekdewald/Documents/Python/Github_Repo/JupyterNotebooks' folder2 = '/Users/derekdewald/Documents/Python/Github_Repo/Project Folder/Synthetic Member Dataset' move_file_in_folder(folder1,folder2,'Sythentic Member V3.ipynb')",,,,,,,filesystem_tools.py
extract_consolidated_raw_dataset,"Create a Consolidated Dataset of files in Dictionary, which are meant to be of the structure Process, Categorization, Word and Definition. Data set for the purposes, of aggregating totals and _____________. Used as a input for generate_objects_automated_py.","['df_dict', 'export_location']",Excel File,06-Jul-26,06-Jul-26,ETL,Excel File Creation,"df_dict = {
'Notes':notes_df,
'Definitions':definition_df,
'Knowledge Base':knowledge_base_df,
'Manual Objects':manual_object_df
}
extract_consolidated_raw_dataset(df_dict)",Definition,daily_etl_folder_mgmt.py
extract_object_dot_py,Generate an Excel file of all parameters which are manually stored and maintained. File which is generated is used a input component for generate_knowledgebase.,"['object_dict', 'export_location']",df date_created:29-Jun-26 date_last_modified: 3-Jul-26 classification:TBD sub_classification:TBD,,,,,"manual_object_df(object_dict_manual,'/Users/derekdewald/Documents/Python/Github_Repo/Streamlit/Data/object_manual_published.xlsx')
update:
Added Definition as new record, added column definition.
To support Automated Object included dict Argument in Required definitions, removed default string",,daily_etl_folder_mgmt.py
ETL,Function which refreshes Organizational Processes and Files.,['print_'],objects_automated.py object_manual_published.xlsx object_auto_published.xlsx knowledge_base.xlsx defined_processes.xlsx consolidated_dataset.xlsx python_function_list.csv python_function_parameters.csv date_created:16-Jul-26 date_last_modified: 16-Jul-26 classification:ETL sub_classification: ETL,,,,,Example Function Call,,daily_etl_folder_mgmt.py
generate_objects_automated_py,Create Automated Python File,"['links_df', 'consolidated_df', 'dot_py_documentation', 'definition_df', 'method']",Dot Py File,29-Jun-26,20-Jul-26,Documentation,Manual File Creator,"generate_objects_automated_py(links_df,consolidated_df)","20Jul Update included definition_df, specifically because certain values aren't being passed forward to consolidated_df, values where I do not want to manually maintain the
list, I want it to be included based on Automated Definition. Based on process this data isn't exposed, so when running this function the only way to access the list is
from the direct source. Slightly confusing perhaps could remove consolidated_df, can iterate.",daily_etl_folder_mgmt.py
generate_knowledgebase,"Process Utilized to Combine Notes/ Definitions and Logic into Knowledge Base, which is utilized to Create, Processes, Parameters.","['notes_df', 'definition_df', 'manual_object_df', 'auto_object_df', 'export_location']",Excel File,02-Jul-26,22-Jul-26,Definition,Definition,"d = generate_knowledgebase(notes_df,definition_df,manual_object_df)
d = generate_knowledgebase()","22-Jul - Overhauled merge. Attempted to streamline, simplify and reduce duplication. Increase Visability.",daily_etl_folder_mgmt.py
